data,texto,retweet,idioma,lugar,pais,sigla,latitude,longitude
2020-05-23 00:21:14,"Para voltar tudo ao normal, você precisa fazer o isolamento social e sair apenas para o essencial... Então… https://t.co/EcaGjadUQE",0,pt,Rio das Ostras,Brazil,BR,-41.9379,-22.5226
2020-03-22 22:57:51,14.245 – O que é a hidroxicloroquina? https://t.co/XaxsRnB10Q https://t.co/dy40zuc7wk,0,pt,Sao Paulo,Brazil,BR,-46.674739,-23.606067
2020-04-14 00:11:33,Quarta morte em Lar de Estarreja associada à Covid-19 https://t.co/wevTDyEotP Em https://t.co/MDmhqgtnSp https://t.co/eZI7567hWm,1,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-05-25 20:45:43,"COVID-19 |  Hospital municipal Tide Setúbal, na periferia de São Paulo, parentes se reúnem diariamente a espera de… https://t.co/erdJ2kQh2B",0,pt,Sao Paulo,Brazil,BR,-46.6333,-23.55
2020-04-15 10:34:39,#cenasdocotidiano #santos #distanciamentosocial #documentário #trabalhando #estiva #estivadores… https://t.co/3v4ZCfDJs6,0,pt,Santos,Brazil,BR,-46.29369973,-23.97594743
2020-03-27 22:59:12,"O Papa Francisco rezando sozinho na imensa praça vazia de São Pedro, Vaticano. Deu a bênção e a indulgência plenári… https://t.co/Rxh0WUPSFS",0,pt,Vatican City,Vatican City,VA,12.45701837,41.9024734
2020-05-25 10:39:40,"Estudo randomizado com remdesivir para o tratamento de #covid_19  em adultos hospitalizados, É O PRIMEIRO a mostrar… https://t.co/foSKEnNEjD",0,pt,Kingston,Canada,CA,-76.48285236,44.23242391
2020-03-22 19:12:37,Memórias do cárcere. Hoje deu até pra treinar hein! Acostumando à nova realidade. Pausa pra modelar de cara limpa.… https://t.co/mAnB4kdpFs,0,pt,Rio de Janeiro,Brazil,BR,-43.2739,-22.9619
2020-04-17 10:37:04,Bélgica ultrapassa barreira das 5.000 mortes por Covid-19 https://t.co/jSIVkjlJwn Em https://t.co/MDmhqgtnSp https://t.co/soQnjtKy9z,0,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-04-14 11:57:33,Covid-19 | Ninguém paga água no concelho - Até 17 junho https://t.co/p95VFDwmKW https://t.co/a0fHhJubxJ,0,pt,Montalegre,Portugal,PT,-7.79183865,41.82322149
